account_id,customer_id,account_type,account_status,opening_balance_inr,currency,open_date,home_branch_city
ACC00000001,CUST000001,Savings,Active,7896.57,INR,2023-05-26,Chennai
ACC00000002,CUST000002,Savings,Active,19509.49,INR,2025-07-09,Delhi
ACC00000003,CUST000003,Savings,Active,53343.9,INR,2025-03-16,Chennai
ACC00000004,CUST000004,Savings,Active,17459.61,INR,2023-08-16,Delhi
ACC00000005,CUST000005,Current,Dormant,4458.29,INR,2019-04-27,Mumbai
ACC00000006,CUST000006,Salary,Active,104734.35,INR,2020-04-24,Mumbai
ACC00000007,CUST000007,Savings,Active,14931.04,INR,2025-01-17,Delhi
ACC00000008,CUST000008,Current,Dormant,110417.58,INR,2021-10-26,Delhi
ACC00000009,CUST000009,Savings,Active,6920.23,INR,2019-08-09,Chennai
ACC00000010,CUST000010,Savings,Active,8490.92,INR,2023-03-21,Hyderabad
ACC00000011,CUST000011,Savings,Active,3703.35,INR,2024-12-16,Hyderabad
ACC00000012,CUST000012,Current,Dormant,7988.51,INR,2024-04-08,Hyderabad
ACC00000013,CUST000013,Savings,Active,1593.28,INR,2025-02-01,Delhi
ACC00000014,CUST000014,Savings,Active,30658.45,INR,2025-03-27,Hyderabad
ACC00000015,CUST000015,Savings,Active,44020.82,INR,2022-02-28,Hyderabad
ACC00000016,CUST000016,Savings,Active,23735.65,INR,2019-11-21,Mumbai
ACC00000017,CUST000017,Savings,Active,70049.48,INR,2021-05-20,Mumbai
ACC00000018,CUST000018,Savings,Active,73594.83,INR,2023-07-04,Mumbai
ACC00000019,CUST000019,Savings,Active,17132.5,INR,2021-02-10,Chennai
ACC00000020,CUST000020,Savings,Active,108273.74,INR,2021-06-29,Bengaluru
ACC00000021,CUST000021,Savings,Active,23713.64,INR,2025-01-20,Bengaluru
ACC00000022,CUST000022,Savings,Active,4786.86,INR,2024-05-08,Mumbai
ACC00000023,CUST000023,Salary,Dormant,713272.27,INR,2019-11-11,Delhi
ACC00000024,CUST000024,Savings,Active,9751.79,INR,2019-12-13,Mumbai
ACC00000025,CUST000025,Current,Active,68555.65,INR,2019-07-20,Delhi
ACC00000026,CUST000026,Current,Dormant,113007.13,INR,2024-07-29,Chennai
ACC00000027,CUST000027,Savings,Active,352298.01,INR,2020-09-24,Mumbai
ACC00000028,CUST000028,Savings,Active,116771.55,INR,2024-03-03,Bengaluru
ACC00000029,CUST000029,Current,Active,43667.82,INR,2019-08-29,Mumbai
ACC00000030,CUST000030,Savings,Active,13061.5,INR,2019-12-21,Delhi
ACC00000031,CUST000031,Current,Active,13456.79,INR,2022-11-14,Chennai
ACC00000032,CUST000032,Savings,Active,14873.38,INR,2020-09-12,Chennai
ACC00000033,CUST000033,Savings,Active,150244.14,INR,2023-10-30,Bengaluru
ACC00000034,CUST000034,Savings,Active,13230.37,INR,2023-03-05,Delhi
ACC00000035,CUST000035,Savings,Dormant,64318.52,INR,2020-12-14,Delhi
ACC00000036,CUST000036,Savings,Dormant,29903.98,INR,2022-09-28,Mumbai
ACC00000037,CUST000037,Savings,Active,20292.69,INR,2024-05-30,Mumbai
ACC00000038,CUST000038,Savings,Active,26946.27,INR,2021-02-28,Bengaluru
ACC00000039,CUST000039,Savings,Active,24662.61,INR,2024-03-15,Bengaluru
ACC00000040,CUST000040,Savings,Active,87356.72,INR,2020-06-01,Delhi
ACC00000041,CUST000041,Savings,Active,7296.92,INR,2023-06-27,Mumbai
