customer_id,customer_name,age,segment,occupation,home_city,home_state,home_latitude,home_longitude,customer_risk_band,onboarding_date,kyc_status
CUST000001,SYNTHETIC CUSTOMER 000001,33,Mass,Student,Hyderabad,Telangana,17.44175,78.52911,Low,2019-11-22,Y
CUST000002,SYNTHETIC CUSTOMER 000002,35,SME,Student,Bengaluru,Karnataka,13.08133,77.55538,Low,2024-12-19,Y
CUST000003,SYNTHETIC CUSTOMER 000003,72,SME,Salaried,Delhi,Delhi,28.51814,77.15571,Low,2018-11-17,Y
CUST000004,SYNTHETIC CUSTOMER 000004,62,Mass,Homemaker,Ahmedabad,Gujarat,23.06681,72.65368,Low,2025-05-18,Y
CUST000005,SYNTHETIC CUSTOMER 000005,43,Mass,Professional,Kochi,Kerala,10.05056,76.1805,Low,2020-06-21,Y
CUST000006,SYNTHETIC CUSTOMER 000006,66,SME,Professional,Hyderabad,Telangana,17.41883,78.39347,Low,2021-02-17,Y
CUST000007,SYNTHETIC CUSTOMER 000007,38,Senior Citizen,Professional,Jaipur,Rajasthan,26.81925,75.75442,Low,2022-07-23,Y
CUST000008,SYNTHETIC CUSTOMER 000008,34,Senior Citizen,Self-employed,Ahmedabad,Gujarat,23.04808,72.68285,Low,2019-12-17,Y
CUST000009,SYNTHETIC CUSTOMER 000009,32,SME,Salaried,Hyderabad,Telangana,17.27254,78.446,Low,2020-03-29,Y
CUST000010,SYNTHETIC CUSTOMER 000010,47,Mass,Retired,Pune,Maharashtra,18.4134,73.89353,Medium,2018-10-05,Y
CUST000011,SYNTHETIC CUSTOMER 000011,73,Mass,Self-employed,Bengaluru,Karnataka,12.95795,77.68132,Medium,2019-11-01,Y
CUST000012,SYNTHETIC CUSTOMER 000012,42,Senior Citizen,Self-employed,Pune,Maharashtra,18.4941,73.95906,Low,2020-11-26,Y
CUST000013,SYNTHETIC CUSTOMER 000013,76,Affluent,Professional,Mumbai,Maharashtra,18.99378,72.98829,Medium,2025-02-08,Y
CUST000014,SYNTHETIC CUSTOMER 000014,18,Mass,Salaried,Chennai,Tamil Nadu,13.20233,80.38976,Low,2025-03-08,Y
CUST000015,SYNTHETIC CUSTOMER 000015,24,Mass,Homemaker,Jaipur,Rajasthan,26.82463,75.695,Medium,2024-10-21,Y
CUST000016,SYNTHETIC CUSTOMER 000016,58,Mass,Self-employed,Mumbai,Maharashtra,18.99478,72.86374,High,2018-02-03,Y
CUST000017,SYNTHETIC CUSTOMER 000017,61,Student,Self-employed,Mumbai,Maharashtra,18.98067,72.94493,Low,2021-06-13,Y
CUST000018,SYNTHETIC CUSTOMER 000018,24,Mass,Homemaker,Delhi,Delhi,28.50319,77.20197,Low,2023-10-08,Y
CUST000019,SYNTHETIC CUSTOMER 000019,43,Mass,Professional,Chennai,Tamil Nadu,13.16518,80.23018,Low,2025-09-11,Y
CUST000020,SYNTHETIC CUSTOMER 000020,76,Mass,Homemaker,Pune,Maharashtra,18.47574,73.94022,Low,2017-12-07,Y
CUST000021,SYNTHETIC CUSTOMER 000021,45,Mass,Self-employed,Mumbai,Maharashtra,19.1016,72.83504,Medium,2021-01-19,Y
CUST000022,SYNTHETIC CUSTOMER 000022,72,Senior Citizen,Professional,Delhi,Delhi,28.6032,77.30167,Medium,2019-07-21,Y
CUST000023,SYNTHETIC CUSTOMER 000023,33,Mass,Professional,Jaipur,Rajasthan,26.82153,75.6993,Medium,2020-10-17,Y
CUST000024,SYNTHETIC CUSTOMER 000024,67,Student,Student,Delhi,Delhi,28.6102,77.14642,Medium,2021-01-27,Y
CUST000025,SYNTHETIC CUSTOMER 000025,44,SME,Salaried,Bengaluru,Karnataka,12.98183,77.57439,Low,2023-09-08,Y
CUST000026,SYNTHETIC CUSTOMER 000026,49,Student,Self-employed,Jaipur,Rajasthan,26.897,75.67427,Low,2022-03-28,Y
CUST000027,SYNTHETIC CUSTOMER 000027,31,Mass,Student,Mumbai,Maharashtra,19.037,72.96881,Low,2022-11-20,Y
CUST000028,SYNTHETIC CUSTOMER 000028,26,Affluent,Self-employed,Mumbai,Maharashtra,18.98345,72.98516,Low,2020-10-16,Y
CUST000029,SYNTHETIC CUSTOMER 000029,30,Mass,Homemaker,Pune,Maharashtra,18.56615,73.88724,Low,2024-11-11,Y
CUST000030,SYNTHETIC CUSTOMER 000030,45,Student,Salaried,Pune,Maharashtra,18.55294,73.93559,High,2018-01-27,Y
CUST000031,SYNTHETIC CUSTOMER 000031,54,Mass,Retired,Ahmedabad,Gujarat,22.99346,72.45829,Low,2022-05-12,Y
CUST000032,SYNTHETIC CUSTOMER 000032,48,SME,Homemaker,Jaipur,Rajasthan,26.9102,75.8576,Low,2024-12-17,Y
CUST000033,SYNTHETIC CUSTOMER 000033,29,SME,Homemaker,Hyderabad,Telangana,17.44227,78.43306,Low,2019-05-25,Y
CUST000034,SYNTHETIC CUSTOMER 000034,21,Mass,Salaried,Jaipur,Rajasthan,26.95978,75.69761,Low,2020-07-02,Y
CUST000035,SYNTHETIC CUSTOMER 000035,27,Affluent,Salaried,Kochi,Kerala,9.94628,76.22022,Low,2023-03-23,Y
